Year,q_num,RawScore,MaxScore,value
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,0,1,0
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,NA,1,NA
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,0,1,0
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F22_M17,1,1,100
FS19,F23_M18a,0.5,1,50
FS19,F23_M18a,1,1,100
FS19,F23_M18a,,1,0
FS19,F23_M18a,1,1,100
FS19,F23_M18a,NA,1,NA
FS19,F23_M18a,NA,1,NA
FS19,F23_M18a,1,1,100
FS19,F23_M18a,1,1,100
FS19,F23_M18a,NA,1,NA
FS19,F23_M18a,NA,1,NA
FS19,F23_M18a,1,1,100
FS19,F23_M18a,1,1,100
FS19,F23_M18a,NA,1,NA
FS19,F23_M18a,NA,1,NA
FS19,F23_M18a,NA,1,NA
FS19,F23_M18a,NA,1,NA
FS19,F23_M18a,NA,1,NA
FS19,F23_M18a,1,1,100
FS19,F23_M18a,1,1,100
FS19,F23_M18a,1,1,100
FS19,F23_M18a,NA,1,NA
FS19,F23_M18a,1,1,100
FS19,F23_M18a,0,1,0
FS19,F23_M18a,1,1,100
FS19,F23_M18a,NA,1,NA
FS19,F23_M18a,1,1,100
FS19,F23_M18a,0,1,0
FS19,F23_M18a,NA,1,NA
FS19,F23_M18a,1,1,100
FS19,F23_M18a,NA,1,NA
FS19,F23_M18a,NA,1,NA
FS19,F23_M18a,1,1,100
FS19,F23_M18a,1,1,100
FS19,F23_M18a,1,1,100
FS19,F23_M18a,NA,1,NA
FS19,F23_M18a,1,1,100
FS19,F23_M18a,1,1,100
FS19,F23_M18a,1,1,100
FS19,F23_M18a,NA,1,NA
FS19,F23_M18a,NA,1,NA
FS19,F23_M18a,1,1,100
FS19,F23_M18a,1,1,100
FS19,F23_M18a,NA,1,NA
FS19,F23_M18a,NA,1,NA
FS19,F24_M18b,NA,1,NA
FS19,F24_M18b,NA,1,NA
FS19,F24_M18b,1,1,100
FS19,F24_M18b,NA,1,NA
FS19,F24_M18b,1,1,100
FS19,F24_M18b,1,1,100
FS19,F24_M18b,NA,1,NA
FS19,F24_M18b,NA,1,NA
FS19,F24_M18b,1,1,100
FS19,F24_M18b,1,1,100
FS19,F24_M18b,NA,1,NA
FS19,F24_M18b,NA,1,NA
FS19,F24_M18b,0,1,0
FS19,F24_M18b,1,1,100
FS19,F24_M18b,1,1,100
FS19,F24_M18b,1,1,100
FS19,F24_M18b,1,1,100
FS19,F24_M18b,NA,1,NA
FS19,F24_M18b,NA,1,NA
FS19,F24_M18b,NA,1,NA
FS19,F24_M18b,1,1,100
FS19,F24_M18b,NA,1,NA
FS19,F24_M18b,NA,1,NA
FS19,F24_M18b,NA,1,NA
FS19,F24_M18b,1,1,100
FS19,F24_M18b,NA,1,NA
FS19,F24_M18b,NA,1,NA
FS19,F24_M18b,1,1,100
FS19,F24_M18b,NA,1,NA
FS19,F24_M18b,1,1,100
FS19,F24_M18b,1,1,100
FS19,F24_M18b,NA,1,NA
FS19,F24_M18b,NA,1,NA
FS19,F24_M18b,NA,1,NA
FS19,F24_M18b,1,1,100
FS19,F24_M18b,NA,1,NA
FS19,F24_M18b,NA,1,NA
FS19,F24_M18b,NA,1,NA
FS19,F24_M18b,1,1,100
FS19,F24_M18b,1,1,100
FS19,F24_M18b,NA,1,NA
FS19,F24_M18b,NA,1,NA
FS19,F24_M18b,1,1,100
